         307640 function calls (307545 primitive calls) in 1.950 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      273    0.000    0.000    1.541    0.006 /usr/lib/python3.13/ssl.py:1129(read)
      273    0.000    0.000    1.542    0.006 /usr/lib/python3.13/socket.py:706(readinto)
      273    1.540    0.006    1.540    0.006 {method 'read' of '_ssl._SSLSocket' objects}
      245    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      152    0.000    0.000    0.000    0.000 <frozen os>:797(decode)
      150    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
      120    0.000    0.000    0.001    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:285(handle_comment)
      120    0.000    0.000    0.001    0.000 /usr/lib/python3.13/_markupbase.py:165(parse_comment)
      109    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      104    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
    77/75    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       56    0.000    0.000    0.001    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:127(handle_startendtag)
       55    0.000    0.000    0.353    0.006 {method 'read' of '_io.BufferedReader' objects}
       53    0.000    0.000    0.353    0.007 /usr/lib/python3.13/http/client.py:635(_safe_read)
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:199(__get__)
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/__init__.py:330(_compile)
       50    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:2272(__eq__)
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.13/html/parser.py:123(set_cdata_mode)
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:1333(value)
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/__init__.py:287(compile)
       49    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:167(__getitem__)
       47    0.000    0.000    1.189    0.025 {method 'readline' of '_io.BufferedReader' objects}
       44    0.001    0.000    0.006    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:129(filter)
       43    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
    42/10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       42    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/requests/structures.py:46(__setitem__)
    42/10    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       39    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       39    0.000    0.000    0.000    0.000 /usr/lib/python3.13/collections/__init__.py:613(__missing__)
       38    0.000    0.000    0.000    0.000 <frozen _collections_abc>:439(__subclasshook__)
       37    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       36    0.000    0.000    0.004    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:122(decompress)
       36    0.000    0.000    0.357    0.010 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:1173(read_chunked)
       36    0.000    0.000    0.357    0.010 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:1044(stream)
       36    0.000    0.000    0.357    0.010 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/requests/models.py:816(generate)
       36    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:1133(_update_chunk_length)
       35    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       35    0.000    0.000    0.353    0.010 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:1151(_handle_chunk)
       35    0.000    0.000    0.004    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:469(_decode)
       34    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       33    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       32    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/utils.py:47(_has_surrogates)
       31    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/_policybase.py:319(header_fetch_parse)
       31    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/_policybase.py:289(_sanitize_header)
       30    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/feedparser.py:129(__next__)
       30    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/feedparser.py:79(readline)
       29    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/_collections.py:257(__getitem__)
       29    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/__init__.py:680(<genexpr>)
       29    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:2173(get_attribute_list)
       28    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       28    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
    28/26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
    28/26    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       27    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:239(__next)
       26    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       26    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       26    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/_collections.py:289(__iter__)
       25    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
    25/21    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:490(_make_match_rules)
       25    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/requests/structures.py:58(<genexpr>)
       25    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/_collections.py:300(add)
       25    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/message.py:515(set_raw)
