         266209 function calls (266154 primitive calls) in 2.117 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25/21    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:490(_make_match_rules)
        4    0.000    0.000    0.006    0.001 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:163(find_all)
       38    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.229    0.229 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/util/connection.py:27(create_connection)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/socket.py:304(makefile)
    59/57    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/util/ssl_.py:219(create_urllib3_context)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/inspect.py:1329(getfullargspec)
        1    0.000    0.000    0.102    0.102 /usr/lib/python3.13/ssl.py:990(_create)
        1    0.000    0.000    1.689    1.689 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connection.py:485(getresponse)
        1    0.000    0.000    2.025    2.025 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connectionpool.py:592(urlopen)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:695(__call__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/ssl.py:669(verify_mode)
        2    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/util/url.py:367(parse_url)
        1    0.000    0.000    0.107    0.107 /usr/lib/python3.13/http/client.py:213(_read_headers)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/http/client.py:231(_parse_header_lines)
        1    0.000    0.000    0.830    0.830 /usr/lib/python3.13/http/client.py:291(_read_status)
        1    0.000    0.000    0.937    0.937 /usr/lib/python3.13/http/client.py:324(begin)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:1152(__new__)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.000    0.000    2.025    2.025 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connectionpool.py:377(_make_request)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/inspect.py:2373(_signature_from_function)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/_policybase.py:301(header_source_parse)
        8    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
      113    0.000    0.000    0.000    0.000 <frozen _collections_abc>:897(__iter__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/message.py:498(get)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/http/client.py:1294(putheader)
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connection.py:369(request)
        9    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:224(__init__)
        4    0.000    0.000    0.006    0.001 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:1079(_find_all)
        2    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
      2/1    0.000    0.000    0.001    0.001 {built-in method builtins.exec}
        1    0.000    0.000    0.118    0.118 /usr/lib/python3.13/socket.py:960(getaddrinfo)
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/_collections.py:335(extend)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/http/client.py:1138(putrequest)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:576(_code)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:389(_mk_bitmap)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/socket.py:221(__init__)
        1    0.000    0.000    0.229    0.229 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connection.py:192(_new_conn)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/socket.py:782(close)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:451(_parse_sub)
        7    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:514(_compile_info)
        1    0.000    0.000    2.026    2.026 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/poolmanager.py:409(urlopen)
      2/1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/inspect.py:2477(_signature_from_callable)
       11    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1423(__init__)
       24    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/_collections.py:300(add)
      113    0.000    0.000    0.000    0.000 <frozen _collections_abc>:850(__init__)
        1    0.000    0.000    0.752    0.752 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:577(__init__)
        5    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/_lxml.py:156(parser_for)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/feedparser.py:102(push)
       29    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:2173(get_attribute_list)
       31    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       29    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/feedparser.py:79(readline)
       17    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:1873(_all_strings)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1368(__setattr__)
       30    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/_policybase.py:289(_sanitize_header)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:140(put)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:180(get)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/parser.py:41(parse)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.752    0.752 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:864(_raw_read)
       35    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connectionpool.py:175(__init__)
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:666(reset)
        4    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/util/url.py:301(_normalize_host)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.13/inspect.py:2726(__init__)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:1592(__or__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/encodings/idna.py:179(encode)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.13/encodings/__init__.py:71(search_function)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/feedparser.py:178(_call_parse)
        4    0.000    0.000    0.006    0.001 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:2715(find_all)
       26    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:511(_parse)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1634(__getitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/feedparser.py:139(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/_lxml.py:447(doctype)
        6    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/poolmanager.py:95(_default_key_normalizer)
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/_lxml.py:196(prepare_markup)
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/__init__.py:108(lookup)
       74    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       29    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/feedparser.py:129(__next__)
        1    0.000    0.000    0.937    0.937 /usr/lib/python3.13/http/client.py:1386(getresponse)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/message.py:600(get_content_type)
        3    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connection.py:355(putheader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/__init__.py:330(_compile)
        5    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connection.py:163(host)
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:316(__init__)
        7    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:524(get_text)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:1435(_iter_member_by_value_)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:173(_type_check)
        1    0.000    0.000    0.752    0.752 /usr/lib/python3.13/http/client.py:463(read)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/feedparser.py:54(__init__)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
       54    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.13/socket.py:100(_intenum_converter)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.13/encodings/idna.py:1(<module>)
      5/3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       31    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/inspect.py:1816(getattr_static)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1294(_is_dunder)
       31    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/utils.py:47(_has_surrogates)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:1585(_get_value)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:2138(_proto_hook)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/ssl.py:1252(sendall)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/inspect.py:3014(__init__)
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connection.py:320(close)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/ssl.py:541(minimum_version)
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/dammit.py:683(find_declared_encoding)
        2    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/util/url.py:263(_remove_path_dot_segments)
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connectionpool.py:1044(_new_conn)
       11    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/util/util.py:19(to_str)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
       50    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:2272(__eq__)
       30    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/_policybase.py:319(header_fetch_parse)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/http/client.py:867(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:2104(__instancecheck__)
        1    0.000    0.000    0.102    0.102 /usr/lib/python3.13/ssl.py:1365(do_handshake)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:46(__init__)
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connectionpool.py:1170(_close_pool_connections)
